Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
LE JOHANNESBURG;Restaurant;Cuisine traditionnelle;5 rue de la Trinité;;;53000;;;LAVAL;53130;48.0678833;-0.7727318;;;02.43.53.21.21;;lejohannesburg@orange.fr;;;;;;;;;;;;Service en terrasse;;;;;;;"Anglais;Français";"Anglais;Français";;;oui;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.0678833,-0.7727318;Mayenne
LE KASSANDRA;Restaurant;Cuisine traditionnelle;;Plage de l'océan;;44250;;;SAINT-BREVIN-LES-PINS;44154;47.22782;-2.17634;;06 72 43 66 53;;;wilou44250@hotmail.fr;;;;;;;;;;;;;90;;55;;;;;;;;;01/04/2020||30/09/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.22782,-2.17634;Loire-Atlantique
LE KIOSQUE À PIZZAS;Restaurant;Pizzeria;Parking Quincaillerie du Bocage;2 Route des Sables;LES ESSARTS;85140;;;ESSARTS EN BOCAGE;85084;46.7651834;-1.2370492;;;02 51 40 75 79;;;https://www.le-kiosque-a-pizzas.com/commander-pizza-les-essarts--586;;;;;;;;;;;Plats à emporter;;;;;;;;;;;oui;||||||||11:30||13:30||18:00||21:30||11:30||13:30||18:00||21:30||11:30||13:30||18:00||21:30||11:30||13:30||18:00||21:30||11:30||13:30||18:00||21:30||11:30||13:30||18:00||21:30||||||18:00||21:30;||02 51 40 75 79||;;;"Plats à la carte||4,50||14,95|| ; Menu adulte du jour (midi en semaine)||5,00||13,10||";"Cartes bancaires;Tickets Restaurant";46.7651834,-1.2370492;Vendée
LE KIOSQUE À PIZZAS;Restaurant;Pizzeria;;5 rue principale;Mazé;49630;;;MAZE-MILON;49194;47.4557262;-0.2715271;;;02 41 44 26 92;;;https://www.le-kiosque-a-pizzas.com/commander-pizza-maze-milon--627;;;;;;;;;;;Plats à emporter;;;;;;;;;;;;03/06/2020||31/12/2020||||||||||||||11:30||13:30||17:00||21:00||11:30||13:30||17:00||21:00||11:30||13:30||17:00||21:00||11:30||13:30||17:00||21:00||11:30||13:30||17:00||21:00||17:00||21:00||||;;;;Menu adulte du jour (midi en semaine)||8,90||||;"Cartes bancaires;Tickets Restaurant";47.4557262,-0.2715271;Maine-et-Loire
LE KOOKI;Restaurant;Cuisine du Monde;;;4 Rue del 'Arceau;85500;;;LES HERBIERS;85109;46.8722226;-1.0156503;;;02 51 66 87 07;;;;;;;;;;;;;;"Plats à emporter;Plats à emporter / Covid-19";;;;;;;;;;;;02/01/2020||31/12/2020||||le lundi, le samedi midi et le dimanche||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||12,00||||;;46.8722226,-1.0156503;Vendée
RESTAURANT-BAR AU P'TIT ROUEZIEN;Restaurant;Cuisine traditionnelle;;15 place de l'Eglise;;72140;;;ROUEZ;72256;48.1400504;-0.1153319;"Gare SNCF||Sillé le Guillaume||6 ; Autoroute||Le Mans Nord||25 ; Route (nationale/départ.)||Conlie||5 ; Transport en commun||Tennie||5";06 86 36 91 77;02 43 28 27 79;;;;;Facebook||https://www.facebook.com/Au-Ptit-Rouezien-1898862450329829/?ref=page_internal;;;;;;oui;;;"Service en terrasse;Plats à emporter / Covid-19";50;1;20;;;;oui;oui;15;40;oui;"||||||||10:00||19:00||||||07:30||19:00||||||07:30||14:00||||||07:30||19:00||||||07:30||19:00||||||08:00||19:00||||||08:00||13:00|||| ; 22/03/2020||11/05/2020||||||||||||||08:00||12:30||||||08:00||12:30||||||08:00||12:30||||||08:00||12:30||||||08:00||12:30||||||08:00||12:30||||";;;;"Menu adulte du jour (midi en semaine)||12,00|||| ; Menu adulte soir et week-end||18,00||22,00||";"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";48.1400504,-0.1153319;Sarthe
RESTAURANT-CRÊPERIE LA HULOTTE;Restaurant;Crêperie;;38, rue de la Fontaine;;53600;;;EVRON;53097;48.1552862;-0.4018774;Gare SNCF||Evron||0,7;;02 43 91 17 88;;;;;Facebook||;;;;;;oui;petits chiens;;"Service en terrasse;WiFi;Plats à emporter / Covid-19";15;2;24;;;;oui;oui;;15;oui;09/06/2020||31/12/2020||||||||||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||||||||;||02 43 91 17 88||lahulotte@orange.fr;;;Menu adulte du jour (midi en semaine)||11,00||||;"Cartes bancaires;Tickets Restaurant";48.1552862,-0.4018774;Mayenne
RESTAURATION À EMPORTER - LE GARAGE A PIZZA;Restaurant;Restauration rapide;;43 Rue Aristide Briand;;44390;;;NORT-SUR-ERDRE;44110;47.4401084;-1.5026641;Gare SNCF||ligne Nantes Chateaubriant||0,2;06 41 69 99 19;09 50 67 10 85;;;http://legarageapizzas.wix.com/legarageapizzas;;Facebook||https://www.facebook.com/legarageapizzas/?hc_ref=ARQiGF2YqwBX1hwBN5L6EpQvdZdORMbIEAc3-l_dBXzNeUgWn7yPRG7-9k6MQuhsmIE&fref=nf;;;;;;non;;;"Plats à emporter;WiFi";;0;;;;;non;non;;;oui;;||09 50 67 10 85||;;;;"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";47.4401084,-1.5026641;Loire-Atlantique
RESTO DES PLAGES DE LA LOIRE;Restaurant;Restauration rapide;;Route de Savennières;Camping les Plages de Loire;49190;;;ROCHEFORT-SUR-LOIRE;49259;47.3596867;-0.6575304;;;02 41 68 55 91;;;;;Facebook||https://www.facebook.com/snack.cuisine.tartine.fr/;;;;;;oui;;;"Plats à emporter;Séminaire;Service en terrasse;Traiteur;WiFi";;1;;;;;oui;oui;;;;;Famille Crouin||02 41 68 55 91||;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.3596867,-0.6575304;Maine-et-Loire
RISTORANTE DEL ARTE;Restaurant;Pizzeria;;1 Rue Barbara;;44570;;;TRIGNAC;44210;47.2942911;-2.2072599;Transport en commun||Ligne Hélyce - Arrêt Grandchamps||0,15;;02 40 17 04 17;;trignac@delarte.fr;http://www.delarte.fr;;||http://www.delarte.fr/restaurant-italien-pizzeria-saint-nazaire-trignac.html;;;;;;oui;;;"Climatisation;Plats à emporter;Service en terrasse;WiFi";250;;80;;1;;oui;oui;;80;non;01/01/2020||31/12/2020||Ouvert du lundi au dimanche||Ouvert 7j/7||11:30||14:30||18:30||22:30||11:30||14:30||18:30||22:30||11:30||14:30||18:30||22:30||11:30||14:30||18:30||22:30||11:30||14:30||18:30||00:00||11:30||14:30||18:30||00:00||11:30||14:30||18:30||22:30;||02 40 17 04 17||trignac@delarte.fr;;;;"Cartes bancaires;Chèques Vacances;Espèces;Tickets Restaurant";47.2942911,-2.2072599;Loire-Atlantique
ROZA;Restaurant;;;3 place de la Monnaie;;44100;;;NANTES;44109;47.2132255;-1.5655622;;;2 40 54 01 87;;reservationroza@hotmail.com;www.restaurantroza.com;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.2132255,-1.5655622;Loire-Atlantique
SALON DE THE A ARTHÉ;Restaurant;Salon de thé;;7 place de la République;;72270;;;MALICORNE-SUR-SARTHE;72179;47.813986;-0.085243;Halte fluviale||port de Malicorne||0,35;;02 43 96 19 56;;katrin.ehlers@orange.fr;;;;;;;;;oui;dépendant de la taille de l'animal et de nombre de personnes déjà présent;;"Service en terrasse;WiFi;Plats à emporter / Covid-19";15;1;15;;;;oui;oui;8;20;oui;"01/01/2020||30/04/2020||||Lundi et jeudi après-midi||||||||||11:00||||||18:30||11:00||||||18:30||11:00||14:00||||||11:00||||||18:30||11:00||||||18:30||11:00||||||18:30 ; 01/05/2020||15/10/2020||Tous les jours de 11h à 21h00. sauf lundi||||||||||||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00 ; 01/07/2020||31/08/2020||tous les jours de 11:00 à 21:00||||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00 ; 16/10/2020||31/12/2020||||Lundi et jeudi après-midi||||||||||11:00||||||18:30||11:00||||||18:30||11:00||14:00||||||11:00||||||18:30||11:00||||||18:30||11:00||||||18:30";;;;Plats à la carte||4,00||11,50||;"Cartes bancaires;Espèces";47.813986,-0.085243;Sarthe
SALON DE THÉ - LA CIDRERIE LE MOULIN NEUF;;Salon de thé;;Le Moulin Neuf;Route de Montbizot;72290;;;SOULIGNE-SOUS-BALLON;72340;48.151933;0.199808;;;02 43 88 70 20;;contact@alineabis.fr;https://www.alineabis.fr/la-cidrerie;;Facebook||https://www.facebook.com/lacidrerie/;;;;;;;;;Service en terrasse;;;;;;;;;;;oui;||||||||||||||||||||||||||||||||||||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||;||02 43 88 70 20||;;;;"Cartes bancaires;Espèces";48.151933,0.199808;Sarthe
SALON DE THÉ CHARLISE TEA;Restaurant;Salon de thé;;29, rue Basse;Baugé;49150;;;BAUGE-EN-ANJOU;49018;47.5419627;-0.1040269;;;02 41 82 19 57;;;;;Facebook||https://www.facebook.com/Charlise-Tea-830107537101512/;;;;;;oui;;;"Service en terrasse;Plats à emporter / Covid-19";;1;;;;;;;;;oui;"03/06/2020||30/06/2020||||||||||||||09:30||19:00||||||12:00||19:00||||||09:30||19:00||||||09:30||19:00||||||09:30||18:30|||||||||||| ; 01/07/2020||31/08/2020||||fermé le 14 juillet||||||||||09:30||19:00||||||12:00||19:00||||||09:30||19:00||||||09:30||19:00||||||09:30||18:30||||||09:30||18:00|||| ; 01/09/2020||31/12/2020||||||||||||||09:30||19:00||||||12:00||19:00||||||09:30||19:00||||||09:30||19:00||||||09:30||18:30||||||||||||";Charlease Tea||02 41 82 19 57||;;;Menu adulte du jour (midi en semaine)||10,00||||;"Cartes bancaires;Chèques bancaires et postaux";47.5419627,-0.1040269;Maine-et-Loire
SALON DE THÉ DÉLICIEUX INSTANTS;Restaurant;Salon de thé;;7 rue de la Maladrerie;Beaufort-en-Vallée;49250;;;BEAUFORT-EN-ANJOU;49021;47.4396662;-0.2149888;;;02 41 47 21 28;;contact@delicieux-instants.com;http://www.delicieux-instants.com/;;;;;;;;;Seulement l'été sur demande;;Service en terrasse;18;;;;;;;;;;oui;09/06/2020||31/12/2020||||||||||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||12:30||14:00||19:00||||||||;;;;Menu adulte du jour (midi en semaine)||14,50||||;;47.4396662,-0.2149888;Maine-et-Loire
SALON DE THÉ LA BULLE;;Salon de thé;;Rond-point Jean Monnet, Route de Fontenay;;85400;;;LUCON;85128;46.4601072;-1.1465702;;02 51 27 70 44;;;;;;;;;;;;;;;;22;1;;;;;Français;Français;;;oui;02/06/2020||31/12/2020||||||||||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";46.4601072,-1.1465702;Vendée
SAVEURS DU CAMBODGE;;Cuisine traditionnelle;;13 rue de la Vendée;;49300;;;CHOLET;49099;47.05655;-0.88841;;07 55 61 31 30;;;;;;;;;;;;;;;Plats à emporter / Covid-19;;;;;;;Français;Français;;;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.05655,-0.88841;Maine-et-Loire
SIMONE & SIMONE;Restaurant;Bistrot / bar à vin;;3 rue Paul Doumer;;85000;;;LA ROCHE-SUR-YON;85191;46.6695742;-1.4273478;;;02 51 41 44 03;;simoneetsimone85@gmail.com;;;"Facebook||https://www.facebook.com/simoneetsimone?fref=ts ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g196652-d10299505-Reviews-Simone_Et_Simone-La_Roche_sur_Yon_Vendee_Pays_de_la_Loire.html";;;;;;;;;"Service en terrasse;WiFi";37;1;14;0;0;;Français;Français;5;12;oui;||||||||12:00||||||15:00||12:00||||||15:00||12:00||||||15:00||12:00||15:00||18:00||00:00||12:00||15:00||18:00||00:00||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";46.6695742,-1.4273478;Vendée
SNACK SHACK;Restaurant;Restauration rapide;;50 Rue du Pont de Mayenne;;53000;;;LAVAL;53130;48.068524;-0.767764;;;09 87 79 79 08;;teamsnackshack@free.fr;;;Facebook||https://www.facebook.com/SnackShackLaval/;;;;;;;;;Plats à emporter / Covid-19;16;1;20;0;;;;;;;oui;;;;;;;48.068524,-0.767764;Mayenne
SNACK-BAR LA ROTONDE;Restaurant;Brasserie;;59 Place Carnot;;72600;;;MAMERS;72180;48.3504305;0.36997465;;;02 43 97 61 33;;paulo.14@orange.fr;;;;;;Michelin;;;;;;;;;;;;;;;;;oui;;||02.43.97.61.33||;;;;;48.3504305,0.36997465;Sarthe
SOUS LES PALMIERS, LA PLAGE;Restaurant;Restauration rapide;;8 boulevard de Verdun;;44600;;;SAINT-NAZAIRE;44184;47.2714659;-2.204256;"Bord de mer|||| ; Gare SNCF||||2,4 ; Transport en commun||Ligne U2 - Arrêt: Quatzhorloges||0,5 ; Transport en commun||Ligne U4 - Arrêt : Petit Maroc||0,24";;;;;;;Facebook||https://www.facebook.com/souslespalmierslaplage/?fref=ts;;;;;;oui;;;"Service en terrasse;WiFi";25;;20;;;;oui;oui;;12;oui;01/01/2020||31/12/2020||Ouvert du mercredi au dimanche||Fermé le lundi et mardi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 22 13 97||cafesouslespalmiers@gmail.com;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Tickets Restaurant";47.2714659,-2.204256;Loire-Atlantique
SPEED BURGER;Restaurant;Restauration rapide;;23 rue du maréchal foch;;85000;;;LA ROCHE-SUR-YON;85191;46.6732656;-1.4281531;;;02 72 71 77 00;;;http://www.speed-burger.com/magasins/la-roche-sur-yon_R_385_1591763870_;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g196652-d8638762-Reviews-Speed_Burger-La_Roche_sur_Yon_Vendee_Pays_de_la_Loire.html;;;;;;oui;;;;;;;;;;;;;;oui;||||MIDI : du lundi au samedi - SOIR : tous les jours||dimanche midi||11:30||14:00||18:30||22:30||11:30||14:00||18:30||22:30||11:30||14:00||18:30||22:30||11:30||14:00||18:30||22:30||11:30||14:00||18:30||22:30||11:30||14:00||18:30||22:30||||||18:30||22:30;||02 72 71 77 00||;;;;"Cartes bancaires;Chèques Vacances;Espèces;Tickets Restaurant";46.6732656,-1.4281531;Vendée
SPLENDID HÔTEL;Hôtel restaurant;Cuisine traditionnelle;;139, rue du Docteur Gaudrez;;49260;;;MONTREUIL-BELLAY;49215;47.13178;-0.15577;;;02 41 53 10 00;;splendid.mb@orange.fr;http://www.hotelsplendid.fr;;"Tripadvisor|| ; Facebook||https://www.facebook.com/pages/H%C3%B4tel%20Restaurant%20Le%20Splendid%20-%20Montreuil-Bellay/1094469283921176/";;;;;;oui;;;;50;1;40;;;;"Anglais;Français";"Anglais;Français";;150;;01/01/2020||31/12/2020||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Menu enfant||||||Enfant (jusqu'à 10 ans);"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.13178,-0.15577;Maine-et-Loire
SUBWAY;Restaurant;Restauration rapide;6 rue du Val de Mayenne;;;53000;;;LAVAL;53130;48.070343;-0.7728538;;;02.43.56.51.60;;k.bigot@sfr.fr;http://www.subwayfrance.fr;;;;;;;;;;;"Plats à emporter / Covid-19;Livraison à domicile / Covid-19";40;2;10;;;;;;;;oui;;;;;;;48.070343,-0.7728538;Mayenne
SUBWAY;Restaurant;Restauration rapide;8 rue Carnot;;;72400;;;LA FERTE-BERNARD;72132;48.1854081;0.65392442;;;02 43 71 74 55;;;;;;;;;;;;;;Plats à emporter;;;;;;;;;;;;||||||||08:00||22:00||||||08:00||22:00||||||08:00||22:00||||||08:00||22:00||||||08:00||22:00||||||08:00||22:00||||||08:00||22:00||||;;;;;;48.1854081,0.65392442;Sarthe
SUNSET DINER;Restaurant;Cuisine du Monde;;6 Place de la Résistance;;85000;;;LA ROCHE-SUR-YON;85191;46.671364;-1.422284;;;;;sunsetdiner85@gmail.com;;;Facebook||https://www.facebook.com/sunsetdiner85/;;;;;;;;;;;;;;;;;;;;oui;;;;;"Menu adulte du jour (midi en semaine)||8,90|||| ; Menu adulte soir et week-end||11,90|||| ; Menu enfant||7,90||||";;46.671364,-1.422284;Vendée
SUSHI FUSION TEN'KEI;Restaurant;Cuisine du Monde;;Rue de la Maison Neuve;;44800;;;SAINT-HERBLAIN;44162;47.2300706;-1.6419537;;07 61 90 00 44;;;;http://tenkei.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2300706,-1.6419537;Loire-Atlantique
SUSHI KYO;Restaurant;Cuisine du Monde;;6 rue François Marceau;;44600;;;SAINT-NAZAIRE;44184;47.2762523;-2.2057444;"Gare SNCF||||1,5 ; Transport en commun||Ligne U2/U4 - Arrêt Ruban bleu||0,2 ; Transport en commun||Ligne Hélyce - Arrêt Rue de la Paix||0,24";;02 40 88 88 18;;;http://www.sushikyo44600.fr;;||http://www.sushikyo44600.fr/index.php;;;;;;oui;;;Plats à emporter;110;;50;;;;oui;oui;;30;oui;01/01/2020||31/12/2020||Ouvert du lundi au dimanche||Ouvert 7j/7||12:00||14:15||19:00||22:30||12:00||14:15||19:00||22:30||12:00||14:15||19:00||22:30||12:00||14:15||19:00||22:30||12:00||14:15||19:00||22:30||12:00||14:15||19:00||22:30||12:00||14:15||19:00||22:30;||02 40 88 88 18||;;;;"Cartes bancaires;Chèques Vacances;Tickets Restaurant";47.2762523,-2.2057444;Loire-Atlantique
TAI SHOGUN;Restaurant;Cuisine du Monde;;10 Quai François Mitterand;;44000;;;NANTES;44109;47.2079;-1.559426;;;02 40 48 66 07;;;www.tai-shogun.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2079,-1.559426;Loire-Atlantique
TARTINES & CO;Restaurant;Cuisine traditionnelle;;45 Promenade Georges Clémenceau;;85100;;;LES SABLES-D'OLONNE;85194;46.493965;-1.779697;;06 17 58 10 26;;;tartines.co@hotmail.com;;;;;;;;;;;;Plats à emporter;;;;;;;;;;;;;;;;;;46.493965,-1.779697;Vendée
THE MARAIS SPORTS COFFEE BRASSERIE;Restaurant;Brasserie;5 place Carnot;;;72400;;;LA FERTE-BERNARD;72132;48.1855978;0.65350063;Route (nationale/départ.)||Centre ville||0;;02 43 71 73 16;;contact.dcgroup@gmail.com;;;Facebook||https://www.facebook.com/brasserie.lemarais;;;;;;oui;;;"Banquet;Séminaire;Service en terrasse;Traiteur;WiFi";180;4;80;1;;;oui;oui;1;;oui;||||||||08:00||00:00||||||08:00||00:00||||||08:00||00:00||||||08:00||00:00||||||08:00||00:00||||||08:00||00:00||||||09:00||00:00||||;;;;;"Cartes bancaires;Chèques Vacances;Tickets Restaurant";48.1855978,0.65350063;Sarthe
TORRÉFACTION IDÉALE;Restaurant;;;38 Avenue des Ibis;;44500;;;LA BAULE-ESCOUBLAC;44055;47.2854477;-2.3943016;;;02 40 60 23 74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2854477,-2.3943016;Loire-Atlantique
TRAITEUR - Ô SAVEURS DE BERCE;;;;2 Avenue de Tours;;72500;;;MONTVAL-SUR-LOIR;72071;47.689722;0.427696;;;02 43 46 91 82;;osaveursdeberce@gmail.com;https://osaveursdeberce.fr/;;"Facebook||https://www.facebook.com/%C3%94-Saveurs-De-Berc%C3%A9-551839211974930/ ; Instagram||https://www.instagram.com/osaveursdeberce/";;;;;;non;;;"Plats à emporter;Traiteur;Plats à emporter / Covid-19";;;;;;;non;non;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Tickets Restaurant;Virement";47.689722,0.427696;Sarthe
TRAITEUR L'ATELIER DES SAVEURS;;Cuisine traditionnelle;;2 place des Halles;;72290;;;BALLON-SAINT MARS;72023;48.176606;0.2334539;"Gare SNCF||MONBIZOT||8 ; Autoroute||A28 SORTIE 21||5 ; Gare routière||LE MANS||25";06 75 00 48 96;02 43 23 13 95;;pascal.tesson72@gmail.com;;;Facebook||https://www.facebook.com/pascal.tesson.3;;;;;;oui;;;"Plats à emporter;Traiteur;Plats à emporter / Covid-19;Livraison à domicile / Covid-19";;;;;;;oui;oui;;;oui;;Pascal Tesson||02 43 23 13 95||;;;;;48.176606,0.2334539;Sarthe
TY AMPOREIZH;;Restauration rapide;;;;;;;L'ILE-D'YEU;85113;46.7093529;-2.3466244;;;06 50 59 18 74;;tyamporeizh@gmail.com;;;;;;;;;;;;"Plats à emporter;Traiteur";;;;;;;Anglais;Anglais;;;;01/11/2018||31/12/2019||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Chèques bancaires et postaux;46.7093529,-2.3466244;Vendée
TYKAZ;Restaurant;Restauration rapide;;18 Place de l'Eglise;;44117;;;SAINT-ANDRE-DES-EAUX;44151;47.31479;-2.31143;;;02 40 88 46 37;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||Ouvert les midis du lundi au jeudi, midi et soir vendredi et samedi||Fermé le dimanche, ainsi que les lundis soirs, mardis soirs, mercredi soirs et jeudis soirs||11:00||14:00||||||11:00||14:00||||||11:00||14:00||||||11:00||14:00||||||11:00||14:00||18:00||21:30||11:00||14:00||18:00||21:30||||||||;;;;;;47.31479,-2.31143;Loire-Atlantique
UN NOUVEAU MONDE;Restaurant;;;4 cours Olivier de Clisson;;44100;;;NANTES;44109;47.2132171;-1.5549453;;;02 40 48 03 04;;contact@un-nouveau-monde.com;www.un-nouveau-monde.com;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.2132171,-1.5549453;Loire-Atlantique
UNE PART DE SOLEIL;Restaurant;Pizzeria;;1 Rue des Coteaux;;44650;;;CORCOUE-SUR-LOGNE;44156;46.96538;-1.57742;;;02 40 47 17 06;;contact@unepartdesoleil.com;http://www.unepartdesoleil.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.96538,-1.57742;Loire-Atlantique
VACARME;Restaurant;;;5 rue des Bons Français;;44100;;;NANTES;44109;47.2165623;-1.5551365;;;09 87 34 18 82;;damian@vacarme-nantes.com;https://vacarme-nantes.com/;;Instagram||https://www.instagram.com/vacarme.nantes/;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.2165623,-1.5551365;Loire-Atlantique
VALLEE;Restaurant;Cuisine traditionnelle;;Face à l'Esplanade François André;BP 23;44500;;;LA BAULE-ESCOUBLAC;44055;47.28156;-2.4014;;06 18 02 60 66;02 40 24 15 08;;;;;;;;;;;;;;;;;;;;;oui;oui;;110;;01/01/2020||31/12/2020||||||12:00||||||00:00||12:00||||||00:00||12:00||||||00:00||12:00||||||00:00||12:00||||||00:00||12:00||||||00:00||12:00||||||00:00;;;;;;47.28156,-2.4014;Loire-Atlantique
VICTOIRE ET PALOMA - RESTAURATION RAPIDE;Restaurant;Restauration rapide;;4 place Saint Aubin;;44350;;;GUERANDE;44069;47.32764;-2.42947;;;;;victoireetpaloma@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32764,-2.42947;Loire-Atlantique
VILLA VEASNA;;Cuisine du Monde;;10 rue des deux haies;;49000;;;ANGERS;49007;47.47159;-0.55268;;;02 41 87 49 88;;;http://www.villa-veasna.fr;;;;;;;;oui;;;Service en terrasse;50;1;12;;;;Français;Français;;15;;01/01/2020||29/10/2020||||||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant";47.47159,-0.55268;Maine-et-Loire
Ô FELIXX;Restaurant;Cuisine traditionnelle;1 rue du Maine;;;53960;;;BONCHAMP-LES-LAVAL;53034;48.0709924;-0.7015295;;;02.43.26.22.03;;lebonchampois@hotmail.com;http://www.ofelixx.fr/;http://youtu.be/Hq_1AMOhEVQ;;;;;;;oui;;;;140;3;60;;;;oui;oui;;;oui;;;;;Menu adulte du jour (midi en semaine)||||||13 pour le repas ouvrier;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.0709924,-0.7015295;Mayenne
Ô PATIO;Restaurant;Pizzeria;;Quai de Cricklade;;44240;;;SUCE-SUR-ERDRE;44201;47.3394898;-1.5255548;Route (nationale/départ.)||quai cricklade||0;;02 51 81 10 10;;contact@restaurantopatio.fr;http://www.restaurantopatio.fr;;"Tripadvisor||http://www.tripadvisor.fr/Restaurants-g1918934-Suce_sur_Erdre_Loire_Atlantique_Pays_de_la_Loire.html ; Instagram||https://www.instagram.com/opatiosucesurerdre/ ; Facebook||https://www.facebook.com/%C3%94-Patio-104934674513148";http://www.tripadvisor.fr/Restaurants-g1918934-Suce_sur_Erdre_Loire_Atlantique_Pays_de_la_Loire.html;;;;;oui;;;"Banquet;Climatisation;Plats à emporter;Séminaire;Service en terrasse";170;1;110;;;;oui;oui;7;50;oui;;O Patio||02 51 81 10 10||contact@restaurantopatio.fr;;;"Plats à la carte||15,00||58,00|| ; Menu adulte du jour (midi en semaine)||15,00||58,00||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant";47.3394898,-1.5255548;Loire-Atlantique
L’AGAVE;Restaurant;;;11 rue Léon Blum;;44100;;;NANTES;44109;47.219104;-1.555368;;;02 40 47 54 51;;;;;Facebook||https://www.facebook.com/Lagave.Nantes;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.219104,-1.555368;Loire-Atlantique
MAISON BARON-LEFÈVRE;;Restaurant gastronomique - cuisine raffinée;;33 Rue de Rieux;;44000;;;NANTES;44109;47.2104248;-1.545918;Gare SNCF||Gare SNCF - accès Sud||0,684618;;02 40 89 20 20;;;http://www.baron-lefevre.fr/;;;;;"Champerard;Gault Millau;Michelin";;;;;Maitres Restaurateurs;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/115316||||||;;;47.2104248,-1.545918;Loire-Atlantique
